id,name,team,position,byeWeek,injuryStatus,points,adp
166,Dalton Schultz,HOU,TE,14,NA,118.2,166
167,Dak Prescott,DAL,QB,7,NA,116.5,167
168,Ray Davis,BUF,RB,12,NA,116.1,168
169,Jordan Mason,SF,RB,9,NA,115.0,169
170,Tyjae Spears,TEN,RB,5,NA,113.6,170
171,Chigoziem Okonkwo,TEN,TE,5,NA,113.6,171
172,Noah Gray,KC,TE,6,NA,113.3,172
173,Olamide Zaccheaus,WAS,WR,14,NA,112.4,173
174,Keon Coleman,BUF,WR,12,NA,111.5,174
175,Dontayvion Wicks,GB,WR,10,NA,110.5,175
176,Will Dissly,LAC,TE,5,NA,110.1,176
177,Darius Slayton,NYG,WR,11,NA,110.0,177
178,Cooper Rush,DAL,QB,7,NA,109.6,178
179,Austin Hooper,NE,TE,14,NA,108.6,179
180,Josh Palmer,LAC,WR,5,NA,107.4,180
181,Devaughn Vele,DEN,WR,14,NA,106.5,181
182,Tyler Allgeier,ATL,RB,12,NA,106.2,182
183,Christian Watson,GB,WR,10,NA,105.3,183
184,Jake Ferguson,DAL,TE,7,NA,104.4,184
185,KaVontae Turpin,DAL,WR,7,NA,104.2,185
186,Noah Fant,SEA,TE,10,NA,104.0,186
187,Dallas Goedert,PHI,TE,5,NA,103.6,187
188,Antonio Gibson,NE,RB,14,NA,103.4,188
189,Foster Moreau,NO,TE,12,NA,103.3,189
190,Jalen Nailor,MIN,WR,6,NA,103.0,190
191,Taysom Hill,NO,TE,12,NA,102.3,191
192,Dalton Kincaid,BUF,TE,12,NA,100.8,192
193,Joe Flacco,IND,QB,14,NA,99.0,193
194,Tutu Atwell,LAR,WR,6,NA,98.9,194
195,Mack Hollins,BUF,WR,12,NA,98.8,195
196,Jaleel McLaughlin,DEN,RB,14,NA,97.2,196
197,Parker Washington,JAX,WR,12,NA,97.0,197
198,Devin Singletary,NYG,RB,11,NA,96.6,198
199,Gardner Minshew II,LV,QB,10,NA,96.3,199
200,Mac Jones,JAX,QB,12,NA,96.1,200
201,Emanuel Wilson,GB,RB,10,NA,96.0,201
202,Mason Rudolph,TEN,QB,5,NA,95.8,202
